step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1121.8584656084656,6722.7177734375,36.9140625,-27394.095703125,63552204.0
1,1123.950954861111,6255.4169921875,42.1875,-25290.0546875,58346948.0
2,1116.9008413461538,6391.2412109375,40.625,-26009.4140625,59882820.0
3,1115.4423469387755,5748.60009765625,47.8515625,-22784.728515625,52744880.0
4,1117.642875,5662.91162109375,48.828125,-22589.10546875,51782532.0
5,1119.2096259124087,5247.3896484375,53.515625,-20373.7421875,47155496.0
6,1113.707773297491,5157.6650390625,54.4921875,-20037.46875,46184312.0
7,1115.1816267730496,5106.408203125,55.078125,-19385.55859375,45607500.0
8,1115.2350778546713,4984.966796875,56.4453125,-18741.40625,44256908.0
9,1112.1935227272727,5226.27587890625,53.7109375,-20454.59375,46953352.0
10,1110.7360611510792,5173.40771484375,54.296875,-19538.34375,46373000.0
11,1113.0799575617284,4376.24560546875,63.28125,-15167.53125,37502920.0
12,1117.8619011976048,4205.79248046875,65.234375,-14015.74609375,35580980.0
13,1117.2989369501465,4083.982421875,66.6015625,-13043.94140625,34230016.0
14,1112.6626838235295,4098.2529296875,66.40625,-13188.916015625,34415692.0
15,1109.9140625,4096.427734375,66.40625,-13548.193359375,34411400.0
16,1111.921784682081,3993.603515625,67.578125,-12844.9853515625,33257026.0
17,1111.4362847222221,3750.228271484375,70.3125,-12318.119140625,30555828.0
18,1108.059536637931,3956.259033203125,67.96875,-11928.701171875,32865084.0
19,1109.758356545961,3766.412353515625,70.1171875,-11699.197265625,30745912.0
20,1110.3600171232877,3662.65869140625,71.2890625,-10811.94921875,29589312.0
21,1107.8279097796144,3695.5888671875,70.8984375,-11698.64453125,29970786.0
22,1110.1704783519554,3784.064453125,69.921875,-11587.2216796875,30939040.0
23,1107.3016233766234,3313.107421875,75.1953125,-8997.423828125,25725898.0
24,1109.9314839572191,3506.082275390625,73.046875,-10730.30078125,27852084.0
25,1108.5655507915567,3418.254638671875,74.0234375,-9653.7890625,26885088.0
26,1109.3950168918918,3575.148681640625,72.265625,-10508.41796875,28622756.0
27,1111.6801075268818,3542.080078125,72.65625,-9849.744140625,28240460.0
28,1108.7456140350878,3071.07373046875,77.9296875,-8279.3798828125,23027108.0
29,1111.615171990172,2934.428466796875,79.4921875,-7320.7470703125,21489108.0
30,1109.4643196202533,3141.0908203125,77.1484375,-8235.109375,23799694.0
31,1105.426023573201,2998.997314453125,78.7109375,-8065.6181640625,22248964.0
32,1108.4164883863082,2897.1533203125,79.8828125,-7425.9853515625,21097052.0
33,1107.829588607595,3139.829345703125,77.1484375,-7739.49560546875,23796658.0
34,1105.4345965770171,2894.77099609375,79.8828125,-7685.1162109375,21091580.0
35,1107.4565766033254,2687.967041015625,82.2265625,-7270.8779296875,18780550.0
36,1105.756265470297,2981.8857421875,78.90625,-7969.2021484375,22056452.0
