step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
59,1146.432363,8737.674805,14.2578125,-52338.625,85904976
60,1149.409942,8426.945313,17.7734375,-49245.07422,82436544
61,1145.858487,8478.194336,17.1875,-47956.76953,83013328
62,1148.028498,8478.567383,17.1875,-51053.11719,83013728
63,1151.498419,8548.292969,16.40625,-49379.08984,83784656
64,1150.534673,8461.713867,17.3828125,-49585.02344,82820768
65,1142.814533,8737.15918,14.2578125,-50676.79297,85900944
66,1155.683453,8566.253906,16.2109375,-49012.03125,83977728
67,1152.27619,8479.297852,17.1875,-48573.78516,83012704
68,1150.608673,8461.726563,17.3828125,-48870.48828,82818808
69,1148.497049,8444.072266,17.578125,-48949.42188,82625120
70,1138.069225,8632.631836,15.4296875,-49203.82813,84739824
71,1141.126826,8667.708984,15.0390625,-48485.53125,85126216
72,1149.677138,8357.850586,18.5546875,-47046.61328,81660912
73,1144.10865,8322.223633,18.9453125,-44943.74219,81271936
74,1144.844822,8235.886719,19.921875,-44267.14844,80308016
75,1139.973794,8632.925781,15.4296875,-47396.03125,84738432
76,1144.472871,8426.068359,17.7734375,-45170.80469,82427760
77,1141.98371,8373.723633,18.359375,-45801.89063,81847336
78,1149.804915,8219.589844,20.1171875,-44931.64844,80116856
79,1147.305251,8322.830078,18.9453125,-45298.45313,81271248
80,1152.457191,8306.525391,19.140625,-44615.3125,81080176
81,1148.269124,8340.300781,18.75,-46044.67188,81462768
82,1146.51875,8616.643555,15.625,-47219.83594,84544272
83,1142.414752,8235.40332,19.921875,-44358.80469,80303696
84,1142.436022,8079.708008,21.6796875,-44547.125,78567968
85,1143.760068,8322.158203,18.9453125,-42459.98438,81266240
86,1150.654629,8167.90918,20.703125,-43846.25,79535664
87,1148.014734,8029.050293,22.265625,-42125.94141,77992328
88,1145.632473,8408.980469,17.96875,-43401.63672,82230016
89,1143.765137,8062.698242,21.875,-42891.77344,78373984
90,1139.523438,8234.826172,19.921875,-42910.16406,80299472
91,1145.149435,8374.304688,18.359375,-44800.96484,81842784
92,1148.24626,8374.873047,18.359375,-43962.75,81843200
93,1159.640011,8463.296875,17.3828125,-45369.27344,82810960
94,1150.798611,8133.371582,21.09375,-41779.48047,79146672
95,1141.897864,8114.192871,21.2890625,-41930.26563,78949760
96,1145.146501,7976.527344,22.8515625,-42448.13281,77408576
97,1145.095121,8028.399902,22.265625,-40529.92969,77985952
98,1148.360775,8167.434082,20.703125,-43035.14063,79528824
99,1144.986816,8339.685547,18.75,-41869.57031,81453992
100,1142.630393,8045.150879,22.0703125,-40275.14844,78177176
101,1144.051977,8304.916016,19.140625,-41288.99609,81067296
102,1147.235925,7907.842773,23.6328125,-38670.44531,76637232
103,1143.968156,8408.681641,17.96875,-41159.87109,82222288
104,1142.392807,8079.69873,21.6796875,-40290.92188,78560128
105,1150.680643,7597.547852,27.1484375,-39372.99219,73170064
106,1145.185924,7941.947266,23.2421875,-39049.69922,77019840
107,1137.478947,8355.586914,18.5546875,-41638.6875,81639072
108,1147.316525,8288.25,19.3359375,-39368.58984,80872320
109,1151.855748,8064.46875,21.875,-38603.48438,78370064
110,1148.851042,7925.512207,23.4375,-39611.16016,76828096
111,1147.805283,8184.608398,20.5078125,-41802.22266,79715496
112,1139.640706,8321.376953,18.9453125,-41416.17578,81252816
113,1150.99417,7684.049805,26.171875,-35797.42188,74130264
114,1146.094602,8097.793457,21.484375,-38839.89844,78749360
115,1145.062388,7578.728027,27.34375,-36028.01172,72969832
116,1143.501752,8149.130371,20.8984375,-41196.96094,79325352
117,1146.450234,8270.791016,19.53125,-39459.32813,80675064
118,1147.758061,7821.518555,24.609375,-37282.34375,75667448
119,1146.938813,7942.354492,23.2421875,-39165.875,77014416
120,1148.085625,7838.888672,24.4140625,-38576.41406,75860304
121,1142.735814,8027.875,22.265625,-39498.50781,77974848
122,1147.923387,8392.103516,18.1640625,-41592.26953,82020952
123,1147.901002,7735.107422,25.5859375,-37315.16406,74701648
124,1152.514453,8271.976563,19.53125,-40060.30469,80674928
125,1145.173534,8045.711914,22.0703125,-37987.27734,78166888
126,1141.642282,8287.15332,19.3359375,-38401.75,80861248
127,1140.281746,7819.678711,24.609375,-38185.92969,75657720
128,1145.604036,7924.750977,23.4375,-39038.16016,76817952
129,1136.298222,7991.817871,22.65625,-39281.62891,77583104
130,1146.990845,7786.747559,25,-36460.55859,75276608
131,1154.32946,7978.625977,22.8515625,-39329.52344,77398120
