step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
0,1161.294434,9861.895508,1.5625,-103856.9766,98457680
1,1171.812891,9913.787109,0.9765625,-102363.2891,99031376
2,1142.237413,9844.296875,1.7578125,-102459.0938,98256288
3,1159.829545,9810.074219,2.1484375,-102408.8906,97868880
4,1152.760393,9758.083984,2.734375,-101208.4688,97287944
5,1150.615601,9723.457031,3.125,-101904.5313,96899632
6,1148.377642,9706.097656,3.3203125,-100415.1563,96703688
7,1142.505605,9602.104492,4.4921875,-98385.92188,95544240
8,1157.994995,9723.6875,3.125,-99425.04688,96892304
9,1146.80451,9619.588867,4.296875,-95463.875,95733328
10,1142.865017,9532.923828,5.2734375,-94183.92969,94767280
11,1153.184832,9291.564453,8.0078125,-89697.20313,92069432
12,1143.405343,9515.654297,5.46875,-92809.84375,94570776
13,1156.198718,9326.351563,7.6171875,-85833.40625,92451520
14,1144.582217,9273.579102,8.203125,-83295.65625,91869592
15,1157.434152,9153.738281,9.5703125,-81711.45313,90522128
16,1152.244708,8928.591797,12.109375,-78463.95313,88015120
17,1142.915062,9256.143555,8.3984375,-80957.5,91672024
18,1148.396374,9083.720703,10.3515625,-80029.10938,89745136
19,1148.92875,9135.637695,9.765625,-79420.92188,90321680
20,1146.973864,9048.992188,10.7421875,-77796.75781,89356432
21,1145.003224,8910.419922,12.3046875,-73721.24219,87813208
22,1149.235724,9049.234375,10.7421875,-73394.35938,89354112
23,1152.723517,8980.490234,11.5234375,-70479.40625,88583008
24,1149.570597,9049.270508,10.7421875,-72653.36719,89351328
25,1141.94553,8754.335938,14.0625,-72028.04688,86072816
26,1146.999358,8737.755859,14.2578125,-71088.86719,85880280
27,1163.232786,8981.700195,11.5234375,-70838.25,88580256
28,1159.288788,9015.780273,11.1328125,-68981.60938,88963104
29,1149.921575,8651.746094,15.234375,-66477.75781,84914320
30,1149.292116,8496.070313,16.9921875,-66411.07813,83179368
31,1153.12454,8825.024414,13.28125,-70045.48438,86839256
32,1139.135878,8632.796875,15.4296875,-65529.35156,84714592
33,1145.001318,8564.521484,16.2109375,-63160.10156,83944912
34,1159.779663,8894.972656,12.5,-64763.33594,87608072
35,1146.424286,8599.335938,15.8203125,-61839.36719,84328544
36,1146.050967,8184.249023,20.5078125,-59514.90625,79704416
37,1150.032762,8392.486328,18.1640625,-56529.17188,82016544
38,1147.423455,8461.173828,17.3828125,-56159.89844,82784944
39,1149.949933,8392.470703,18.1640625,-55549.48047,82014536
40,1148.603271,8340.363281,18.75,-54857.38281,81435296
41,1149.078206,8323.165039,18.9453125,-53246.0625,81242032
42,1152.614203,8462.075195,17.3828125,-52843.89844,82783312
43,1145.288715,8443.507813,17.578125,-53911.51563,82586816
44,1146.535047,8149.76416,20.8984375,-50530.125,79312192
45,1146.220961,8166.991211,20.703125,-49265.34375,79503680
46,1146.4744,8063.291016,21.875,-48722.36719,78347312
47,1146.767377,8149.8125,20.8984375,-50169.4375,79309568
48,1151.928348,8185.454102,20.5078125,-51071.39063,79696496
49,1149.914964,8202.326172,20.3125,-50310.04688,79887424
50,1142.084251,8477.546875,17.1875,-50407.57031,82964896
51,1142.387044,8339.197266,18.75,-50315.03125,81423200
52,1149.919494,8185.041992,20.5078125,-49739.23438,79692688
53,1146.405947,8218.90625,20.1171875,-48107.37109,80075424
54,1144.528083,8080.161133,21.6796875,-47220.44531,78533144
55,1158.142004,8238.536133,19.921875,-49080.25,80272096
56,1149.826135,8167.737305,20.703125,-50063.32031,79497296
57,1146.283239,8097.834473,21.484375,-49734.75,78724720
58,1151.605903,8289.080078,19.3359375,-49563.52344,80844768
59,1148.050446,8184.65918,20.5078125,-48930.35938,79687088
60,1149.119579,8305.886719,19.140625,-49846.79297,81034976
61,1144.971844,8253.207031,19.7265625,-47667.05469,80454768
62,1139.977575,8131.089355,21.09375,-46182.39844,79103592
63,1147.810357,8046.293945,22.0703125,-45044.48438,78143984
64,1146.346585,8045.970703,22.0703125,-46666.70313,78142784
65,1146.132743,8045.923828,22.0703125,-43848.19531,78142104
66,1147.978775,8046.331543,22.0703125,-45712.57031,78142480
67,1145.610535,8253.333984,19.7265625,-46474.92188,80451680
68,1153.8707,8116.741699,21.2890625,-46569.53125,78914608
69,1148.385055,8132.862305,21.09375,-44871.02734,79104056
70,1148.601697,7994.60498,22.65625,-45035.57031,77563088
71,1153.487571,8099.381836,21.484375,-46541.97656,78720512
72,1152.628906,7857.277344,24.21875,-44552.125,76024048
73,1146.605513,8461.03125,17.3828125,-47958.60547,82760128
74,1149.683194,7804.706543,24.8046875,-42697.79688,75443880
75,1151.23581,8306.291016,19.140625,-44825.89453,81027984
76,1146.792494,8149.818359,20.8984375,-44733.02344,79292536
77,1143.502853,8010.748047,22.4609375,-42807.76953,77749840
78,1148.261921,7666.045898,26.3671875,-40230.55078,73900760
79,1148.767997,8063.792969,21.875,-43094.65625,78329216
80,1152.03625,7839.853027,24.4140625,-40033.84766,75827504
81,1147.438237,8167.242676,20.703125,-42009.13672,79482888
82,1149.203125,8236.755859,19.921875,-42376.0625,80253568
83,1145.569568,8184.149902,20.5078125,-40513.76172,79673912
84,1141.234086,8131.354004,21.09375,-42810.45313,79093760
85,1144.723269,8235.863281,19.921875,-43585.53125,80250424
86,1143.17388,8045.270508,22.0703125,-41629.98047,78131072
87,1149.439548,8219.515625,20.1171875,-43815.125,80059280
88,1150.628099,7908.644531,23.6328125,-39882.35938,76593976
89,1144.036592,7976.273926,22.8515625,-42775.47656,77360272
90,1146.399629,7959.521484,23.046875,-41691.24609,77168608
91,1139.027377,7975.129395,22.8515625,-39611.51563,77356992
92,1145.747857,8045.838867,22.0703125,-40011.55469,78130384
93,1141.972534,7785.493164,25,-39414.52344,75239656
94,1148.444353,8029.145996,22.265625,-40422.60938,77938784
95,1148.090501,8046.355957,22.0703125,-40240.37891,78130608
96,1149.401042,7925.641113,23.4375,-40171.39453,76783264
97,1147.449949,7873.312988,24.0234375,-40123.375,76204240
98,1149.12683,8081.158691,21.6796875,-40834.18359,78515296
99,1153.48012,8064.824219,21.875,-39565.91406,78324736
100,1150.454875,7839.466797,24.4140625,-38822.22656,75820032
101,1155.937748,7823.53125,24.609375,-38807.23438,75630336
102,1148.588587,8011.889648,22.4609375,-40806.47266,77743800
103,1142.672244,7802.967773,24.8046875,-39287.49609,75429752
104,1147.101689,7855.938477,24.21875,-38168.88281,76009744
105,1141.192297,8027.53125,22.265625,-39167.50781,77931784
106,1143.39363,7751.251953,25.390625,-38298.35938,74851872
107,1150.003402,7856.641602,24.21875,-38707.75781,76010688
108,1149.588194,8444.263672,17.578125,-40443.55078,82556056
109,1143.956942,7734.098145,25.5859375,-37822.74219,74658912
110,1144.854976,8218.59375,20.1171875,-39871.97656,80050496
