step,AvgRoutedR,AvgR,AvgRouted%,ActorLoss,BaselineLoss
107,1152.230339,8963.152344,11.71875,683.1072998,3120596.5
108,1144.994038,9014.189453,11.1328125,559.6218262,2536046.75
109,1136.279762,8909.34668,12.3046875,693.0479736,3407499.25
110,1144.10964,8979.498047,11.5234375,764.1682739,3176075
111,1152.534647,9205.110352,8.984375,558.3719482,2377735.75
112,1144.850284,9048.763672,10.7421875,680.5888672,2836227.75
113,1147.045922,8582.144531,16.015625,1107.199463,4457166
114,1144.078253,8944.900391,11.9140625,879.3780518,3373779.5
115,1148.513363,9014.580078,11.1328125,665.1775513,2599329.25
116,1143.309224,8927.509766,12.109375,784.7191772,3381812
117,1151.675347,8911.242188,12.3046875,686.0114136,2998841.75
118,1148.123236,8928.09375,12.109375,907.2511597,3494942.5
119,1145.040013,8720.181641,14.453125,1006.616577,4019624
120,1140.54104,8633.013672,15.4296875,1175.560669,4385051
121,1144.583543,8927.664063,12.109375,849.4653931,3167451.5
122,1138.861679,8650.060547,15.234375,1221.765381,4483054
123,1150.69452,8807.417969,13.4765625,965.4520874,3924724.25
124,1144.784294,8668.257813,15.0390625,1119.900879,4440786.5
125,1144.281789,8495.219727,16.9921875,1168.374023,4764091
126,1142.878072,8460.382813,17.3828125,1059.616089,4651411
127,1139.109164,8719.324219,14.453125,972.9803467,4069438
128,1139.110166,8632.792969,15.4296875,1024.255127,4152345.25
129,1142.08875,8702.454102,14.6484375,905.678833,3982473
130,1150.310494,8720.943359,14.453125,928.3334961,4158031
131,1149.773165,8513.438477,16.796875,1066.834595,4795458.5
132,1143.945828,8425.974609,17.7734375,1285.794067,5327993
133,1146.775021,8720.431641,14.453125,970.9028931,4032109
134,1144.94568,8529.921875,16.6015625,1144.721436,4645703.5
135,1141.007397,8373.544922,18.359375,1328.351929,5506323
136,1146.046239,8512.8125,16.796875,1166.694458,4643208.5
137,1141.707077,8529.384766,16.6015625,1246.056519,5036305.5
138,1146.738188,8547.511719,16.40625,1163.936768,4771743.5
139,1137.35497,8372.874023,18.359375,1160.046509,4882654
140,1136.471471,8459.269531,17.3828125,1252.022095,5104828
141,1142.379475,8218.095703,20.1171875,1405.943604,5585017
142,1150.261905,8185.112305,20.5078125,1546.323486,6059639.5
143,1142.727311,8373.860352,18.359375,1301.761963,5266530.5
144,1147.496216,7786.874023,25,1824.955322,7123368
145,1141.334039,8148.677246,20.8984375,1494.961182,5889243
146,1133.540818,8458.759766,17.3828125,1318.882568,4817087.5
147,1132.509517,8094.875,21.484375,1559.196411,5886989
148,1141.497266,7923.788086,23.4375,1908.136841,7069511
149,1148.182896,8063.665039,21.875,1643.198364,6570066
150,1133.117016,7627.416016,26.7578125,1950.593018,7619504
151,1139.82646,7888.786621,23.828125,1684.501953,6573729
152,1143.283012,7699.32959,25.9765625,1875.407837,7703002
153,1139.943274,7611.937988,26.953125,1806.714844,7696009.5
154,1142.241204,7664.458008,26.3671875,1769.016602,7292439
155,1136.534307,7611.019043,26.953125,1873.126465,7482133
156,1148.563599,7787.140625,25,1753.817871,7271433
157,1141.57053,7508.566895,28.125,1876.636475,7850790
158,1143.377764,7751.248047,25.390625,1718.552734,7579007
159,1141.57625,7404.758789,29.296875,2047.497803,8527985
160,1147.649953,7683.173828,26.171875,1545.761963,7193157
161,1143.762204,7076.749512,33.0078125,2367.970703,9658752
162,1141.547991,7093.320313,32.8125,2169.936035,9184684
163,1139.633005,7196.524414,31.640625,2227.881104,9142842
164,1142.330775,7041.676758,33.3984375,2260.236816,9569234
165,1139.750758,7144.645996,32.2265625,2244.210449,9226944
166,1145.210629,7371.234375,29.6875,1968.661499,8693318
